------------------------------------------------------------
Server listening on UDP port 5002
Receiving 500 byte datagrams
UDP buffer size:  224 KByte (default)
------------------------------------------------------------
[  3] local 192.168.200.2 port 5002 connected with 192.168.200.1 port 51490
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0-10.0 sec  22.0 KBytes  18.0 Kbits/sec  169.471 ms    0/   45 (0%)
[  3] 10.0-20.0 sec  22.0 KBytes  18.0 Kbits/sec  179.375 ms    0/   45 (0%)
[  3] 20.0-30.0 sec  22.5 KBytes  18.4 Kbits/sec  82.512 ms   65/  111 (59%)
[  3] 30.0-40.0 sec  22.0 KBytes  18.0 Kbits/sec  23.729 ms  202/  247 (82%)
[  3] 40.0-50.0 sec  22.5 KBytes  18.4 Kbits/sec  19.619 ms  207/  253 (82%)
[  3] 50.0-60.0 sec  22.0 KBytes  18.0 Kbits/sec  20.723 ms  203/  248 (82%)
[  3] 60.0-70.0 sec  22.5 KBytes  18.4 Kbits/sec  20.553 ms  207/  253 (82%)
[  3] 70.0-80.0 sec  22.0 KBytes  18.0 Kbits/sec  20.083 ms  202/  247 (82%)
[  3] 80.0-90.0 sec  22.5 KBytes  18.4 Kbits/sec  20.137 ms  207/  253 (82%)
[  3] 90.0-100.0 sec  22.0 KBytes  18.0 Kbits/sec  19.905 ms  203/  248 (82%)
[  3] 100.0-110.0 sec  22.5 KBytes  18.4 Kbits/sec  20.523 ms  207/  253 (82%)
[  3] 110.0-120.0 sec  22.0 KBytes  18.0 Kbits/sec  20.397 ms  202/  247 (82%)
[  3] 120.0-130.0 sec  22.0 KBytes  18.0 Kbits/sec  20.033 ms  203/  248 (82%)
[  3] 130.0-140.0 sec  22.5 KBytes  18.4 Kbits/sec  20.374 ms  207/  253 (82%)
[  3] 140.0-150.0 sec  22.0 KBytes  18.0 Kbits/sec  20.366 ms  202/  247 (82%)
[  3] 150.0-160.0 sec  22.5 KBytes  18.4 Kbits/sec  19.777 ms  207/  253 (82%)
[  3] 160.0-170.0 sec  22.0 KBytes  18.0 Kbits/sec  20.818 ms  203/  248 (82%)
[  3] 170.0-180.0 sec  22.5 KBytes  18.4 Kbits/sec  19.540 ms  207/  253 (82%)
[  3] 180.0-190.0 sec  22.0 KBytes  18.0 Kbits/sec  18.925 ms  202/  247 (82%)
[  3] 190.0-200.0 sec  22.5 KBytes  18.4 Kbits/sec  20.153 ms  207/  253 (82%)
[  3] 200.0-210.0 sec  22.0 KBytes  18.0 Kbits/sec  19.888 ms  203/  248 (82%)
[  3] 210.0-220.0 sec  22.0 KBytes  18.0 Kbits/sec  19.840 ms  202/  247 (82%)
[  3] 220.0-230.0 sec  22.5 KBytes  18.4 Kbits/sec  20.765 ms  207/  253 (82%)
[  3] 230.0-240.0 sec  22.0 KBytes  18.0 Kbits/sec  19.861 ms  203/  248 (82%)
[  3] 240.0-250.0 sec  22.5 KBytes  18.4 Kbits/sec  19.877 ms  207/  253 (82%)
[  3] 250.0-260.0 sec  22.0 KBytes  18.0 Kbits/sec  19.508 ms  202/  247 (82%)
[  3] 260.0-270.0 sec  22.5 KBytes  18.4 Kbits/sec  19.550 ms  207/  253 (82%)
[  3] 270.0-280.0 sec  22.0 KBytes  18.0 Kbits/sec  19.714 ms  203/  248 (82%)
[  3] 280.0-290.0 sec  22.5 KBytes  18.4 Kbits/sec  20.145 ms  207/  253 (82%)
