------------------------------------------------------------
Server listening on UDP port 5003
Receiving 500 byte datagrams
UDP buffer size:  224 KByte (default)
------------------------------------------------------------
[  3] local 192.168.200.3 port 5003 connected with 192.168.200.1 port 57079
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0-10.0 sec  21.5 KBytes  17.6 Kbits/sec  192.787 ms    0/   44 (0%)
[  3] 10.0-20.0 sec  22.5 KBytes  18.4 Kbits/sec  212.331 ms    0/   46 (0%)
[  3] 20.0-30.0 sec  21.5 KBytes  17.6 Kbits/sec  130.130 ms   55/   99 (56%)
[  3] 30.0-40.0 sec  21.5 KBytes  17.6 Kbits/sec  77.453 ms  198/  242 (82%)
[  3] 40.0-50.0 sec  23.4 KBytes  19.2 Kbits/sec  53.181 ms  216/  264 (82%)
[  3] 50.0-60.0 sec  21.5 KBytes  17.6 Kbits/sec  61.970 ms  198/  242 (82%)
[  3] 60.0-70.0 sec  22.5 KBytes  18.4 Kbits/sec  47.245 ms  207/  253 (82%)
[  3] 70.0-80.0 sec  21.5 KBytes  17.6 Kbits/sec  39.671 ms  198/  242 (82%)
[  3] 80.0-90.0 sec  22.5 KBytes  18.4 Kbits/sec  39.074 ms  207/  253 (82%)
[  3] 90.0-100.0 sec  22.5 KBytes  18.4 Kbits/sec  39.310 ms  207/  253 (82%)
[  3] 100.0-110.0 sec  21.5 KBytes  17.6 Kbits/sec  38.917 ms  198/  242 (82%)
[  3] 110.0-120.0 sec  22.5 KBytes  18.4 Kbits/sec  38.916 ms  207/  253 (82%)
[  3] 120.0-130.0 sec  22.5 KBytes  18.4 Kbits/sec  39.069 ms  207/  253 (82%)
[  3] 130.0-140.0 sec  22.5 KBytes  18.4 Kbits/sec  84.624 ms  207/  253 (82%)
[  3] 140.0-150.0 sec  21.5 KBytes  17.6 Kbits/sec  41.670 ms  198/  242 (82%)
[  3] 150.0-160.0 sec  22.5 KBytes  18.4 Kbits/sec  39.215 ms  207/  253 (82%)
[  3] 160.0-170.0 sec  22.5 KBytes  18.4 Kbits/sec  39.121 ms  207/  253 (82%)
[  3] 170.0-180.0 sec  23.4 KBytes  19.2 Kbits/sec  71.636 ms  216/  264 (82%)
[  3] 180.0-190.0 sec  21.5 KBytes  17.6 Kbits/sec  53.124 ms  198/  242 (82%)
[  3] 190.0-200.0 sec  22.5 KBytes  18.4 Kbits/sec  53.693 ms  207/  253 (82%)
[  3] 200.0-210.0 sec  21.5 KBytes  17.6 Kbits/sec  69.698 ms  198/  242 (82%)
[  3] 210.0-220.0 sec  21.5 KBytes  17.6 Kbits/sec  42.740 ms  198/  242 (82%)
[  3] 220.0-230.0 sec  22.5 KBytes  18.4 Kbits/sec  39.574 ms  207/  253 (82%)
[  3] 230.0-240.0 sec  22.5 KBytes  18.4 Kbits/sec  39.207 ms  207/  253 (82%)
[  3] 240.0-250.0 sec  22.5 KBytes  18.4 Kbits/sec  39.142 ms  207/  253 (82%)
[  3] 250.0-260.0 sec  21.5 KBytes  17.6 Kbits/sec  39.592 ms  198/  242 (82%)
[  3] 260.0-270.0 sec  22.9 KBytes  18.8 Kbits/sec  61.784 ms  216/  263 (82%)
[  3] 270.0-280.0 sec  22.0 KBytes  18.0 Kbits/sec  51.834 ms  198/  243 (81%)
